@relation test

@attribute RAIN numeric
@attribute T.MAX numeric
@attribute T.MIN numeric
@attribute T.MIN.G numeric
@attribute WIND numeric

@data
-0.467758,-0.330767,-0.93598,-0.911829,15.41
-0.467758,-0.65311,-1.07257,-0.819477,8.17
-0.467758,-0.137362,-0.753861,-0.837947,8
-0.467758,-0.846515,-0.207503,0.418031,10.88
-0.467758,0.249449,-0.070914,0.454972,8.46
-0.467758,-0.24481,-0.731096,-0.801007,10.75
-0.39332,-0.330767,0.452679,0.510382,13.75
-0.467758,-0.352257,-1.641692,-1.428996,6.75
-0.19482,-0.008425,-1.368513,-0.98571,10.88
-0.021133,0.292428,0.247795,0.510382,16.62
-0.021133,0.099022,0.703093,1.082961,14.79
-0.19482,0.249449,0.156735,-0.006785,11.92
0.152555,0.077533,0.543738,0.916728,11.67
-0.467758,-0.65311,-0.275798,0.418031,5.25
0.177368,-1.448221,-0.685566,0.085566,5.5
1.914245,-0.545662,-0.594507,-0.209958,6
0.574368,0.20647,-0.389623,0.270269,9.25
-0.467758,-0.330767,0.361619,0.658145,5
-0.467758,-0.674599,-1.209159,-0.597834,5.33
1.542057,-0.266299,-0.594507,-0.653245,8.71
0.00368,-0.287789,0.543738,1.02755,9.96
0.00368,0.227959,0.680328,1.156842,5.21
0.971369,0.593281,-0.617272,-0.542423,5.66
1.467619,0.077533,0.907977,1.212253,6.54
-0.442946,0.356896,0.589268,0.067096,8
-0.343695,0.270938,0.13397,0.104036,4.29
-0.467758,-0.137362,-0.685566,-0.505483,2.46
-0.467758,-0.24481,-0.93598,-0.727126,2.88
-0.467758,0.464344,-0.594507,-0.653245,4.46
-0.418133,-0.567152,0.065675,0.159447,5.66
0.450305,-0.373746,0.270559,-0.708656,12.96
-0.219633,-0.201831,0.247795,0.000603,12.25
0.425493,0.657749,0.452679,-0.209958,9.5
2.26162,-0.158852,0.657563,0.196388,7.46
-0.021133,-0.115873,0.065675,-0.265369,10.71
0.226993,0.099022,-0.913215,-0.911829,5.25
3.799997,-0.115873,0.293324,-0.30231,13.75
-0.467758,0.61477,0.065675,-0.523953,6
-0.467758,0.743707,0.1795,-0.209958,6.25
-0.467758,0.464344,-0.844921,-0.98571,2.67
0.524743,0.507323,0.156735,0.196388,4.04
-0.070758,0.679238,0.589268,0.000603,5.09
1.343557,1.259455,0.407149,0.000603,9.96
0.375868,-0.072894,0.293324,0.000603,10.46
-0.368508,0.464344,0.22503,0.713555,9.5
0.028493,0.722217,0.930742,0.935199,5.96
-0.29407,0.593281,-0.048149,0.048626,9.13
-0.269258,0.464344,0.634798,0.639674,16.83
0.10293,-0.008425,0.08844,0.34415,18.21
-0.467758,0.356896,0.1795,0.510382,18.58
-0.467758,0.722217,-0.230268,-0.006785,7.25
-0.467758,0.808175,-0.98151,-0.690185,3.33
-0.467758,1.366902,-0.958745,-0.450072,3.67
-0.467758,1.388392,0.020146,-0.246899,5.17
-0.418133,1.88265,-0.298563,-0.487012,5.21
-0.120383,0.507323,0.862447,0.713555,10.04
-0.467758,0.292428,0.589268,1.064491,5.91
-0.467758,-0.051404,0.543738,0.34415,8.38
-0.467758,0.013064,-0.776626,-0.579364,5.83
-0.467758,-0.137362,-0.480682,-0.727126,5.04
-0.467758,0.270938,-0.321328,-0.413131,6.83
-0.467758,0.292428,0.589268,0.824377,4.71
-0.467758,0.399875,-0.685566,-0.634774,3.17
-0.467758,0.227959,-0.048149,-0.30231,2.42
-0.467758,0.249449,0.680328,1.101431,3.13
-0.418133,0.270938,0.907977,1.341545,4
-0.070758,-0.137362,0.384384,1.04602,6.79
-0.467758,-0.588641,-0.412388,-0.099137,9.33
-0.467758,-0.180341,-0.731096,-0.727126,4.92
-0.467758,0.142001,-1.231924,-1.02265,5.41
-0.021133,-0.008425,0.634798,0.879788,11.71
-0.467758,0.18498,0.816917,0.99061,5.83
-0.467758,0.786686,0.316089,0.104036,6.58
-0.467758,0.786686,-0.321328,0.085566,9.75
-0.467758,0.958602,0.930742,1.360015,7.92
-0.467758,1.152007,1.20392,1.489307,10.41
-0.467758,1.603286,1.112861,1.433896,6.21
1.86462,0.786686,1.431569,1.655539,3.42
-0.39332,0.722217,1.158391,1.452366,4.21
0.723243,0.937112,0.543738,0.713555,8.17
-0.29407,0.464344,0.270559,0.621204,9.54
-0.021133,0.829665,-0.070914,0.307209,8.29
-0.070758,0.507323,0.907977,1.267664,9.71
0.425493,0.700728,0.589268,1.04602,6.25
-0.219633,0.056043,0.930742,1.156842,9.17
-0.418133,1.001581,-0.048149,0.085566,4.67
-0.170008,1.173497,-0.002619,-0.099137,5.66
-0.442946,1.173497,1.522629,1.415426,8.25
-0.418133,1.345413,0.293324,0.36262,10.54
-0.269258,1.431371,1.955162,2.154237,12.96
-0.467758,0.915623,0.703093,0.824377,13.7
-0.467758,0.851154,0.520973,0.676615,10.37
-0.467758,0.700728,0.520973,1.101431,7.92
-0.070758,1.302434,0.1795,-0.117607,10.54
-0.467758,1.109028,1.181156,1.618599,13.29
-0.467758,1.947118,1.181156,1.230723,14.21
-0.467758,2.076055,1.158391,0.732026,14.88
0.226993,1.775202,1.29498,1.600129,11.87
-0.467758,0.399875,1.181156,1.618599,8.38
-0.467758,0.722217,-0.070914,0.140977,10.54
-0.467758,1.323923,0.384384,-0.062196,8.79
-0.467758,1.904139,1.067331,1.064491,8.33
-0.467758,2.162013,1.181156,1.156842,4.92
-0.467758,1.302434,2.068987,2.154237,6.71
-0.467758,1.45286,1.29498,1.618599,5.83
-0.318883,1.066049,0.703093,0.824377,15.75
-0.467758,1.04456,0.953507,1.304604,14.92
-0.467758,1.431371,0.156735,0.32568,10.08
-0.442946,1.47435,0.361619,0.307209,7.08
-0.418133,1.689244,1.636454,1.747891,14.54
-0.467758,1.066049,1.818573,2.024945,14.04
1.120244,1.087539,1.34051,1.563188,9.46
1.169869,0.851154,1.317745,1.655539,2.67
0.872118,0.872644,1.454334,1.858712,7.41
-0.368508,1.216476,1.568159,1.360015,9.08
4.842123,0.099022,0.589268,1.04602,16.83
-0.442946,0.872644,0.429914,1.082961,11.83
0.177368,1.173497,0.270559,0.565793,10.25
-0.442946,0.485833,1.044566,1.360015,13.13
-0.467758,1.366902,0.930742,1.119902,7.08
-0.467758,1.280944,0.930742,0.750496,4.96
-0.467758,1.152007,0.270559,0.122507,3.5
-0.467758,1.066049,1.29498,1.563188,3.04
-0.467758,0.571791,1.20392,0.916728,2.21
-0.467758,0.808175,0.384384,1.119902,4.75
-0.467758,0.851154,0.816917,0.916728,2.21
-0.467758,1.066049,1.067331,1.082961,3.58
-0.070758,1.560308,1.181156,1.193783,12.29
-0.467758,0.894133,1.431569,1.581658,18.79
0.177368,0.722217,0.862447,1.563188,7.87
-0.467758,0.958602,0.293324,0.510382,9.67
-0.467758,1.04456,1.090096,1.433896,5.79
-0.467758,1.732223,0.407149,0.473442,6.04
-0.467758,0.937112,1.20392,1.470837,3.75
-0.29407,0.808175,0.202265,0.177918,4.21
-0.244445,0.958602,0.907977,1.156842,8.87
0.797681,1.280944,0.612033,0.602734,11.92
-0.467758,1.560308,1.590924,1.914123,13.54
-0.467758,1.323923,0.270559,0.104036,10.54
-0.442946,1.066049,1.522629,1.04602,7.87
3.254121,0.227959,-0.070914,-0.209958,3.88
-0.19482,1.216476,0.816917,1.304604,10.63
0.00368,1.066049,0.907977,1.04602,11.25
-0.170008,0.700728,0.589268,0.639674,4.67
-0.418133,0.700728,0.543738,0.639674,6.83
-0.269258,1.237965,-0.184739,-0.099137,6.83
-0.442946,1.087539,1.090096,1.378485,10.92
-0.368508,1.173497,1.181156,1.286134,15.09
-0.39332,1.066049,1.317745,1.71095,9.42
-0.467758,1.216476,1.067331,1.470837,12.96
-0.368508,1.796692,1.090096,1.212253,10.21
-0.269258,0.786686,1.38604,1.951064,19.04
-0.39332,0.485833,1.272215,1.618599,13.21
1.889432,1.646265,1.112861,1.360015,12.58
-0.418133,0.851154,1.499864,1.747891,19
-0.467758,0.829665,0.930742,1.433896,12.08
0.772868,1.775202,1.181156,1.470837,8.17
-0.467758,1.001581,-0.002619,0.418031,5.66
-0.021133,1.302434,1.454334,1.858712,10.92
-0.19482,1.04456,0.498209,0.454972,9.79
-0.467758,1.796692,1.29498,1.249193,12.12
-0.467758,2.419887,1.408805,1.230723,9.08
-0.467758,2.011587,2.592579,2.228118,14.12
-0.467758,1.431371,0.680328,0.381091,4.58
-0.442946,1.667755,-0.321328,0.307209,2.92
-0.442946,1.646265,1.067331,-0.265369,4.63
-0.442946,1.538818,1.34051,1.415426,3.83
-0.467758,0.593281,1.659218,2.024945,5.88
-0.467758,1.066049,1.818573,2.154237,1.25
-0.418133,0.485833,0.953507,1.04602,9.38
0.375868,0.700728,0.725858,0.99061,14.09
-0.467758,0.528812,0.065675,0.418031,7.87
-0.467758,0.937112,0.04291,0.085566,3.17
1.492432,1.47435,-0.184739,-0.080666,6.92
-0.467758,1.732223,1.590924,1.433896,4.83
0.226993,1.04456,0.930742,0.676615,8.63
-0.343695,1.323923,0.816917,0.750496,11.08
-0.269258,1.237965,1.408805,1.470837,11.75
-0.219633,1.323923,0.907977,0.935199,12.75
-0.343695,1.302434,1.522629,1.784831,13
-0.467758,1.323923,1.431569,1.951064,20.79
-0.467758,1.431371,0.930742,0.824377,7.87
-0.442946,1.087539,-0.298563,-0.265369,4.17
1.76537,1.775202,1.181156,0.99061,8.17
1.96387,0.915623,1.067331,1.230723,4.79
-0.467758,1.066049,1.545394,1.821772,6.46
-0.368508,1.581797,-0.503447,-0.468542,4.12
0.226993,1.495839,1.568159,1.729421,6.08
-0.467758,0.722217,-0.161974,0.418031,5.91
-0.467758,0.464344,-0.412388,-0.413131,8.92
-0.170008,0.700728,1.317745,1.304604,12.46
7.472251,0.249449,0.384384,0.32568,8.08
1.045806,0.227959,0.930742,1.341545,9.13
-0.170008,0.743707,0.361619,-0.099137,9.21
-0.467758,0.313917,0.475444,0.34415,10.96
-0.343695,0.571791,0.885212,0.898258,5.83
0.375868,0.937112,0.907977,1.04602,8.71
1.343557,0.464344,1.681983,1.452366,4.04
0.524743,-0.137362,0.04291,0.436501,3.5
-0.021133,0.292428,0.543738,1.286134,5.63
0.276618,0.356896,1.044566,1.249193,12.96
-0.318883,0.270938,-0.480682,-0.006785,6.87
-0.070758,0.378386,-0.002619,-0.006785,10.17
-0.045945,0.894133,0.316089,-0.006785,9.04
-0.244445,0.700728,0.907977,1.02755,11.75
-0.442946,0.20647,0.589268,0.750496,12.71
-0.467758,0.464344,-1.004275,-0.782537,5.58
-0.467758,0.958602,-0.161974,-0.025255,9.92
-0.467758,0.485833,0.543738,-0.505483,2.96
-0.467758,0.099022,-0.89045,-0.080666,9
0.078118,-0.24481,0.020146,0.251799,14.58
-0.467758,-0.158852,0.543738,0.842847,22.17
-0.467758,-0.22332,-0.093679,0.32568,21.84
-0.19482,-0.803536,-0.161974,0.140977,13.21
-0.467758,-0.567152,-0.89045,-0.542423,12.08
-0.39332,0.077533,-0.321328,0.196388,7.5
3.675934,-0.158852,0.452679,0.381091,17.58
1.169869,0.249449,-0.093679,0.381091,16.21
0.921744,-0.395236,0.407149,0.713555,17.96
-0.418133,-0.481194,-0.731096,-0.191488,18.34
-0.467758,-0.008425,0.22503,0.454972,9.79
-0.070758,-0.373746,-0.435152,-0.579364,7.79
-0.467758,-0.352257,-0.617272,-0.32078,9.75
-0.467758,-0.63162,-1.118099,-1.170412,9.42
-0.467758,-0.180341,-0.321328,-0.708656,14.88
-0.343695,0.442854,0.429914,1.04602,15.25
-0.39332,0.442854,0.293324,0.067096,13.08
-0.343695,-0.352257,0.361619,0.491912,15.83
-0.467758,-1.104389,-0.958745,-0.727126,11.21
-0.467758,-0.588641,-1.163629,-0.948769,8.5
-0.368508,-0.072894,-0.776626,0.000603,10.79
-0.467758,-0.438215,0.04291,0.251799,8.21
0.549556,-0.029915,0.04291,0.528853,9.29
-0.467758,-0.717578,-0.93598,-0.801007,6.58
-0.467758,-0.825026,-1.687222,-1.66911,8.21
-0.39332,-1.555668,-1.823811,-1.724521,7.71
-0.467758,-1.018431,-1.823811,-1.521348,12.12
-0.467758,-0.610131,-1.277454,-1.318175,13.04
-0.467758,-0.610131,-0.731096,-0.30231,21.87
-0.467758,-0.846515,0.361619,0.491912,15.71
-0.467758,-0.996942,0.065675,0.565793,6
-0.343695,-1.0829,-0.070914,0.418031,2.29
-0.368508,-0.803536,-0.093679,0.510382,3.13
-0.467758,-0.803536,-0.070914,0.658145,9.29
-0.467758,-0.846515,0.452679,0.824377,9.33
-0.467758,-0.825026,0.452679,0.824377,13.04
3.948872,-0.674599,-1.209159,-1.00418,7
-0.29407,-0.22332,-1.095335,0.000603,9.17
-0.467758,-0.996942,-0.913215,-0.597834,15.41
-0.244445,-0.717578,-0.708331,0.000603,16.17
-0.467758,-1.211837,-0.822156,-0.542423,11.83
1.666119,-1.125879,-1.550633,-1.502877,6.34
-0.170008,-1.405242,-1.459573,0.000603,5.83
-0.244445,-1.0829,-1.07257,-0.819477,12.79
2.633808,-0.158852,-0.662801,0.270269,15.29
0.971369,-0.051404,0.04291,0.732026,16.5
-0.467758,-1.684605,-0.412388,0.104036,7.25
0.276618,-1.319284,-1.391278,-0.98571,12.21
0.326243,-1.276305,-2.18805,-1.946164,7.67
1.616494,-0.051404,-1.960401,0.000603,13.79
-0.442946,-1.792053,-1.300219,-0.764066,17.83
-0.467758,-2.157374,-1.550633,-1.078061,12.62
0.648806,-1.684605,-2.688878,-2.426391,8.87
0.574368,-0.395236,-2.597818,0.000603,19.83
0.375868,-0.008425,-0.298563,-0.487012,10.04
0.673618,0.142001,-0.298563,-0.431601,18.84
-0.368508,-0.330767,0.703093,1.02755,25.62
0.351055,0.013064,0.612033,0.879788,16.83
-0.418133,0.034554,0.316089,-0.043726,16.66
-0.442946,-0.137362,-1.709987,-1.521348,9.38
-0.467758,-0.029915,-1.573397,0.000603,10.71
-0.467758,-0.459704,0.316089,0.104036,6.92
-0.467758,-0.932473,-0.366858,-0.209958,9.54
-0.467758,-1.92099,-2.074225,-2.038515,4.79
-0.467758,-2.415248,-2.597818,-2.075456,3.54
-0.467758,-1.555668,-2.711643,-2.167807,3.63
-0.467758,-1.534179,-2.597818,-1.742991,4.33
-0.467758,-1.405242,-1.823811,0.000603,13.59
-0.467758,-1.792053,-0.594507,0.122507,18.12
-0.467758,-2.3078,-1.573397,-1.447466,8.5
-0.467758,-1.792053,-2.074225,-2.481802,11.92
-0.467758,-1.792053,-1.300219,-0.597834,17.12
-0.467758,-2.157374,-2.18805,-2.241688,2.92
-0.467758,-2.049927,-2.643348,-2.35251,8.96
-0.467758,-2.221842,-2.597818,-2.093926,15
-0.467758,-2.501206,-1.436808,-0.505483,17.29
-0.145195,-2.544185,-3.963712,-2.980499,10.04
-0.467758,-2.608653,-3.895417,0.000603,10.41
-0.467758,-2.888017,-3.235235,-2.444861,8.46
-0.467758,-2.479716,-3.30353,-2.130867,4.58
-0.467758,-1.577158,-2.324639,0.000603,5.5
-0.021133,-0.910984,-1.983166,-1.816872,15.29
0.053305,-0.373746,-0.412388,-0.062196,8.46
-0.467758,-0.975452,-0.435152,-0.394661,14.29
1.219494,-0.545662,-0.048149,0.104036,17.71
-0.467758,-1.534179,-0.753861,-0.413131,15.29
0.574368,-0.180341,-1.07257,-0.708656,14.29
-0.29407,-1.233326,-0.913215,-0.505483,25.96
-0.442946,-1.233326,-0.731096,-0.376191,23.54
-0.467758,-1.684605,-1.459573,-0.727126,19.7
-0.442946,-1.018431,-1.345748,-0.98571,12.42
1.467619,-0.395236,-1.277454,-0.560893,20.38
0.20218,-1.125879,-0.867686,-0.597834,19.75
-0.219633,-1.018431,-0.822156,0.196388,22.79
-0.467758,-1.0829,-1.209159,-1.00418,12.46
-0.19482,-0.760557,-0.958745,-0.209958,16.08
-0.19482,-0.481194,-0.503447,-0.173018,10.29
0.127743,-0.975452,-0.207503,0.196388,17.29
-0.467758,-1.534179,-1.049805,-0.597834,23.25
0.177368,-0.459704,-0.93598,-0.579364,12.71
-0.219633,-0.352257,-0.708331,-0.30231,17.25
-0.467758,-0.438215,0.1795,0.491912,18.29
-0.244445,-0.996942,0.13397,0.36262,7.41
-0.467758,-1.211837,-0.412388,-0.173018,5.17
-0.467758,-1.104389,-0.184739,0.418031,3.63
-0.467758,-0.674599,-0.207503,0.32568,2.17
-0.39332,-0.481194,-1.209159,-1.00418,13.33
0.028493,-0.24481,-0.070914,0.000603,22.42
-0.39332,-1.276305,-1.095335,-0.597834,15.71
-0.269258,-0.717578,-0.98151,-0.30231,13.17
-0.467758,-0.567152,-0.640037,-0.819477,15.96
0.524743,-0.674599,-0.594507,-0.30231,18.88
-0.467758,-0.567152,-0.708331,-0.431601,15.75
0.177368,-0.373746,-0.594507,-0.173018,18.75
-0.19482,-1.039921,-0.207503,0.196388,25
-0.442946,-0.717578,-1.07257,-0.764066,8.21
-0.467758,-0.459704,-1.07257,0.000603,12.08
-0.19482,-0.610131,0.08844,0.602734,14.96
-0.368508,-0.201831,-1.07257,-0.911829,24.41
-0.29407,-0.180341,-0.457917,0.000603,29.54
0.20218,-1.555668,-1.004275,-0.523953,15.79
-0.467758,-1.405242,-1.709987,-1.244293,11.71
0.251805,-0.567152,-1.436808,-1.428996,23.45
-0.467758,-0.975452,-0.025384,0.510382,28.84
-0.467758,-0.610131,-0.753861,-0.062196,14.12
-0.467758,-0.760557,-0.594507,-0.653245,8.29
-0.467758,-0.545662,-0.048149,-0.099137,7.92
-0.467758,-0.588641,-0.366858,-0.006785,1.46
-0.467758,-0.825026,-0.070914,0.491912,7.04
-0.467758,-1.448221,-0.844921,-0.930299,15.29
-0.467758,-2.006948,-0.731096,-0.597834,20.21
-0.467758,-1.641626,-0.958745,-0.30231,18.12
-0.368508,-1.878011,-0.93598,-0.191488,22.63
0.872118,-2.286311,-1.687222,-0.782537,25.62
-0.467758,-2.114395,-1.687222,-0.653245,26.87
0.896931,-2.092906,-1.573397,-0.708656,13.88
-0.19482,-2.114395,-1.459573,-0.523953,7.96
-0.343695,-1.684605,-1.436808,-0.801007,9.59
0.772868,-2.651632,-2.825467,-1.502877,6.71
-0.467758,-2.157374,-3.144176,-2.130867,5.33
-0.467758,-1.555668,-2.870997,-2.721915,5.79
-0.467758,-1.555668,-2.962056,-2.721915,8
0.20218,-1.684605,-1.732752,-1.373585,29.58
2.981183,-1.534179,-1.186394,-0.450072,18
1.020994,-0.889494,-0.844921,-0.209958,9
1.442807,-1.0829,-0.139209,0.713555,3.83
0.20218,-1.684605,-0.435152,0.32568,10.92
-0.467758,-1.555668,-0.753861,-0.30231,7.71
-0.467758,-1.641626,-2.074225,-1.835342,6.83
-0.467758,-1.706095,-2.324639,-2.35251,4
0.276618,-1.663116,-1.414043,-1.096531,16.54
-0.467758,-1.555668,-1.07257,-0.173018,12.58
-0.467758,-1.319284,-0.662801,-0.080666,7.71
-0.467758,-0.373746,-2.415699,-2.204748,5.79
-0.467758,-1.426731,-1.573397,-1.66911,9.04
-0.467758,-0.846515,-1.823811,-1.68758,7.67
-0.467758,-1.46971,-0.958745,-0.930299,6.71
-0.343695,-0.868005,-1.801046,-1.724521,5.96
-0.467758,-1.405242,-0.89045,-0.597834,9.42
-0.418133,-1.405242,-0.867686,-0.505483,3.5
0.10293,-0.674599,-0.844921,-0.228428,19.41
-0.39332,-0.158852,-0.822156,-0.191488,14.88
-0.418133,-0.481194,-1.095335,-0.911829,9.92
0.623993,-0.696089,-1.937636,-1.927694,13.54
-0.170008,0.056043,-0.731096,-0.099137,10.83
-0.39332,-0.868005,-1.277454,-1.207353,13.75
-0.368508,-0.889494,-1.482338,-1.299704,16.42
0.20218,-1.018431,-1.140864,-0.874888,19.79
0.822493,-0.760557,-0.913215,-0.523953,20.83
0.524743,-0.266299,-0.685566,-0.505483,10.67
0.475118,-0.674599,-1.07257,-0.708656,17.83
-0.045945,-0.868005,-0.457917,0.048626,22.42
-0.19482,-0.545662,-1.209159,-0.708656,17.08
-0.09557,-0.051404,-0.230268,0.510382,22.5
1.045806,-0.610131,-0.958745,-0.450072,18.25
0.475118,-0.846515,-0.776626,-0.265369,16.21
-0.021133,-0.481194,-0.435152,0.288739,12.04
-0.442946,-0.22332,0.04291,0.528853,14.12
-0.467758,-0.610131,-0.321328,0.122507,3.79
-0.467758,-0.588641,-1.709987,-1.465937,6.58
-0.467758,-1.104389,-1.07257,-1.188883,11.42
-0.467758,-1.233326,-1.049805,-1.078061,13.83
-0.343695,-0.910984,-1.095335,-1.02265,15.34
0.351055,-0.932473,-0.230268,0.473442,14.83
-0.269258,-1.06141,-0.161974,0.288739,11.71
-0.467758,-0.287789,-0.070914,0.528853,6.21
-0.418133,-0.24481,-0.708331,-0.579364,6.17
1.368369,-0.481194,-0.708331,-0.708656,3.58
-0.467758,0.313917,-1.414043,-1.299704,8.58
-0.467758,-0.051404,-0.070914,-0.006785,8.96
-0.467758,0.743707,0.1795,0.473442,5.79
-0.467758,0.356896,-0.708331,-0.764066,5.83
-0.467758,0.528812,-0.139209,-0.394661,7.67
-0.467758,-0.029915,-0.298563,-0.597834,6.42
-0.467758,0.464344,-1.300219,-0.893358,5.17
-0.467758,-0.072894,-0.685566,-0.708656,5.37
-0.467758,0.056043,-1.209159,-0.911829,5.41
-0.467758,0.099022,-1.004275,-0.745596,2.25
-0.467758,0.507323,-0.822156,-0.764066,4
-0.467758,0.507323,-0.844921,-0.634774,3.5
-0.467758,0.722217,0.543738,1.02755,5.83
-0.467758,0.507323,-0.002619,-0.173018,8.79
1.492432,1.173497,0.543738,1.230723,4.88
-0.39332,1.130518,0.885212,0.805907,14.09
0.028493,0.722217,1.158391,0.713555,11.34
0.177368,-0.008425,-0.207503,-0.597834,7.04
1.244306,0.20647,-0.321328,-0.708656,5.96
-0.070758,0.142001,-0.048149,0.067096,11.04
-0.39332,-0.008425,0.04291,-0.30231,10.46
-0.467758,0.679238,-0.731096,-0.801007,8.75
-0.467758,0.872644,0.862447,0.898258,13.79
0.40068,0.249449,0.475444,0.34415,9.83
-0.368508,-0.008425,0.361619,0.547323,23.25
0.226993,0.056043,-0.366858,-0.080666,18.05
6.231625,0.013064,-0.139209,0.085566,11.21
-0.070758,-0.201831,-0.207503,0.418031,17.12
-0.244445,-0.115873,-0.457917,-0.597834,12.42
-0.09557,0.593281,-0.435152,0.34415,11.63
-0.467758,0.528812,0.04291,-0.394661,16
-0.368508,0.313917,-0.139209,0.307209,16.42
-0.442946,0.099022,-0.457917,-0.099137,11.67
-0.467758,-0.502683,-0.93598,-0.579364,8
-0.467758,-0.502683,-0.526212,-0.283839,7.46
-0.467758,-0.22332,-0.275798,0.104036,9.92
0.475118,0.227959,-0.275798,-0.191488,6.83
-0.442946,-0.567152,0.589268,1.082961,6.75
-0.467758,0.485833,-0.867686,-0.597834,7.17
-0.467758,-0.352257,-0.89045,-0.653245,7.83
-0.467758,0.142001,-1.209159,-0.98571,5.91
-0.467758,0.249449,-0.89045,-0.579364,3.17
-0.467758,0.485833,-0.207503,-0.30231,3
-0.467758,0.657749,-0.435152,-0.173018,3.33
-0.467758,0.722217,-0.412388,-0.30231,8.21
-0.467758,1.45286,-0.366858,-0.30231,6.08
-0.467758,1.796692,0.475444,0.510382,3.83
-0.467758,2.011587,0.953507,0.99061,5.41
-0.467758,1.237965,1.067331,0.935199,8.29
0.623993,0.378386,0.270559,0.288739,6.5
